frame,state,mask_area,cx,cy,chamfer_px,closure_score
000400,static_on_table,1130,437.6,200.8,1.50,1.426
000401,static_on_table,1131,437.6,200.8,1.05,1.426
000402,static_on_table,1133,437.3,201.4,1.01,1.426
000403,static_on_table,1132,437.2,201.4,1.03,1.426
000404,static_on_table,1128,437.0,201.8,1.02,1.426
000405,static_on_table,1145,436.7,202.4,1.44,1.426
000406,static_on_table,1150,436.6,202.5,0.96,1.426
000407,static_on_table,1101,436.3,203.1,1.42,1.426
000408,static_on_table,1086,435.8,203.1,1.37,1.426
000409,static_on_table,1094,435.8,203.2,1.09,1.426
000410,static_on_table,1096,435.8,203.2,1.11,1.426
000411,static_on_table,1059,435.7,203.4,1.02,1.426
000412,static_on_table,1088,435.7,203.2,0.66,1.426
000413,static_on_table,1005,435.4,203.2,2.84,1.426
000414,static_on_table,1016,435.5,202.9,2.05,1.426
000415,static_on_table,1083,435.5,202.7,1.54,1.426
000416,static_on_table,1076,435.5,202.7,1.45,1.426
000417,static_on_table,1019,436.1,200.9,1.22,1.426
000418,static_on_table,1006,436.2,200.7,1.25,1.426
000419,static_on_table,1086,436.3,200.6,1.66,1.426
000420,static_on_table,1054,436.5,200.4,1.63,1.426
000421,static_on_table,1092,436.6,199.3,1.14,1.426
000422,static_on_table,1090,436.6,199.3,1.19,1.425
000423,static_on_table,1120,437.6,197.5,1.94,1.425
000424,static_on_table,1124,437.6,197.6,1.90,1.424
000425,static_on_table,1132,438.4,196.4,2.04,1.425
000426,static_on_table,1158,438.4,196.3,2.15,1.427
000427,static_on_table,1157,439.4,195.3,1.69,1.429
000428,static_on_table,1158,439.4,195.3,1.71,1.432
000429,static_on_table,1156,440.7,193.8,2.08,1.435
000430,static_on_table,1157,440.7,193.8,2.09,1.440
000431,static_on_table,1142,442.1,192.2,2.33,1.444
000432,static_on_table,1102,444.0,190.6,3.69,1.445
000433,static_on_table,1037,445.9,188.9,4.08,1.443
000434,static_on_table,1036,445.8,188.9,4.07,1.440
